Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
322226,The Free Sea,Hugo Grotius,"Grotius, Hugo","Richard Hakluyt, William Welwood, David Armitage","=""0865974314""","=""9780865974319""",0,3.92,Liberty Fund Inc.,Paperback,170,2004,1609,,2020/11/06,"to-read, philosophy","to-read (#353), philosophy (#95)",to-read,,,,0,,,0,,,,,
1170624,The Political Writings Of Samuel Pufendorf,Samuel von Pufendorf,"Pufendorf, Samuel von",,"=""0195065603""","=""9780195065602""",0,2.00,"Oxford University Press, USA",Hardcover,285,1994,1994,,2020/11/06,"to-read, philosophy","to-read (#352), philosophy (#94)",to-read,,,,0,,,0,,,,,
15775410,The province of the book,A.R. Venkatachalapathy,"Venkatachalapathy, A.R.",,"=""8178243318""","=""""",0,4.50,Permanent Black,Hardcover,292,2012,2012,,2020/11/05,"to-read, history","to-read (#351), history (#120)",to-read,,,,0,,,0,,,,,
109203,Ranjit Singh: Maharajah Of The Punjab,Khushwant Singh,"Singh, Khushwant",,"=""0141006846""","=""9780141006840""",0,4.05,Penguin India,Paperback,240,2004,1963,,2020/11/05,"to-read, history","to-read (#350), history (#119)",to-read,,,,0,,,0,,,,,
17837451,The Religions Book: Big Ideas Simply Explained,Shulamit Ambalu,"Ambalu, Shulamit","Michael D. Coogan, Eve Levavi Feinstein, Paul Freedman, Neil Philip, Andrew Stob","=""1465408436""","=""9781465408433""",3,4.05,DK Publishing,Hardcover,352,2013,2013,2020/11/01,2020/11/01,history,history (#118),read,"I received criticisms, remarks from a friend on this topic. He is friendly, often writes in newspapers on this topic. As he is writing for general public; I expect him to bring more content. <br/><br/>I wanted this person to give a more serious, thoughtful understanding of religion. Apparently, he gave usual popular internet arguments or opinions on Religion.  <br/><br/>I mean, I wanted him to put more effort in educating himself, having a thoughtful response. He's on his way to get a PhD. <br/><br/>It would be beneficial for a discussion, rather than saying, <br/>""Religion is a tool, used to control people.""<br/><br/>This does not discredit the idea of God (genetic fallacy). I shared this book, so he can go through different religions and be more informed. <br/><br/>Hinduism was most interesting to me. I wish more people would talk about religion openly, rather than cower. <br/><br/>The Book is a survey of religious ideas.<br/><br/>I think, this would be have much better if Religious ideas were more systematized or hierarchical.<br/>I was thinking, a lot of religious groups treat each other with disdain. Wish, there was a book that would give how each religion view each other throughout centuries.  <br/> <br/>I would recommend this to anyone, who wants to go through a concise description of religions of humanity<br/><br/>Deus Vult, <br/>Gottfried",,,1,,,0,,,,,
54138479,What Do You Believe ?: Religion & Faith In The World Today,Dorling Kindersley,"Kindersley, Dorling",,"=""""","=""""",0,0.0,,Kindle Edition,,2020,,2020/11/02,2020/11/01,history,history (#117),read,,,,1,,,0,,,,,
25781491,The Great Endarkenment: Philosophy for an Age of Hyperspecialization,Elijah Millgram,"Millgram, Elijah",,"=""0199326029""","=""9780199326020""",0,4.25,Oxford University Press,Hardcover,312,2015,2015,,2020/11/01,"to-read, philosophy","to-read (#349), philosophy (#93)",to-read,,,,0,,,0,,,,,
688826,The Life of Samuel Johnson,James Boswell,"Boswell, James",,"=""0679417176""","=""9780679417170""",0,3.75,Everyman's Library,Hardcover,1344,1993,1790,,2020/11/01,"to-read, literature","to-read (#348), literature (#8)",to-read,,,,0,,,0,,,,,
6100118,Samuel Johnson: The Major Works,Samuel Johnson,"Johnson, Samuel",Donald J. Greene,"=""0199538336""","=""9780199538331""",0,3.91,"Oxford University Press, USA",Paperback,840,2009,1925,,2020/11/01,"to-read, literature","to-read (#347), literature (#7)",to-read,,,,0,,,0,,,,,
677788,The Whig Interpretation of History,Herbert Butterfield,"Butterfield, Herbert",,"=""0393003183""","=""9780393003185""",0,3.78,W. W. Norton  Company,Paperback,144,1965,1931,,2020/10/31,"to-read, history","to-read (#346), history (#116)",to-read,,,,0,,,0,,,,,
18310148,Gandhi Before India,Ramachandra Guha,"Guha, Ramachandra",,"=""0307357929""","=""9780307357922""",3,4.19,Random House Canada,Hardcover,688,2013,2013,2020/10/27,2020/10/23,history,history (#114),read,,,,1,,,0,,,,,
22962483,Knowledge and Christian Belief,Alvin Plantinga,"Plantinga, Alvin",,"=""0802872042""","=""9780802872043""",0,4.16,Eerdmans,Paperback,144,2015,2015,,2020/10/23,"to-read, philosophy","to-read (#345), philosophy (#92)",to-read,,,,0,,,0,,,,,
174501,India: A History,John Keay,"Keay, John",,"=""0802137970""","=""9780802137975""",0,3.95,Grove Press,Paperback,608,2000,2000,,2020/10/23,to-read,to-read (#344),to-read,,,,0,,,0,,,,,
825690,Indian Summer: The Secret History of the End of an Empire,Alex von Tunzelmann,"Tunzelmann, Alex von",,"=""0743285883""","=""9780743285889""",0,4.05,Simon & Schuster,Hardcover,464,2007,2007,,2020/10/23,"to-read, history","to-read (#343), history (#115)",to-read,,,,0,,,0,,,,,
99629,The Malay Archipelago,Alfred Russel Wallace,"Wallace, Alfred Russel",,"=""9625936459""","=""9789625936451""",0,4.18,Periplus Editions,Paperback,544,2000,1869,,2020/10/21,"to-read, biology","to-read (#342), biology (#4)",to-read,,,,0,,,0,,,,,
3172571,Ideology & Social Science,André Béteille,"Béteille, André",,"=""0143062018""","=""9780143062011""",0,4.00,Penguin Books,,274,2006,2006,,2020/10/21,"to-read, sociology","to-read (#341), sociology (#23)",to-read,,,,0,,,0,,,,,
31824,A Source Book in Chinese Philosophy,Wing-Tsit Chan,"Chan, Wing-Tsit",,"=""0691019649""","=""9780691019642""",0,4.14,Princeton University Press,Paperback,888,1969,1963,,2020/10/21,"to-read, philosophy","to-read (#340), philosophy (#91)",to-read,,,,0,,,0,,,,,
143877,Freedom from the Known,Jiddu Krishnamurti,"Krishnamurti, Jiddu",,"=""0060648082""","=""9780060648084""",0,4.26,HarperOne ,Paperback,128,2009,1969,,2020/10/21,"to-read, philosophy","to-read (#339), philosophy (#90)",to-read,,,,0,,,0,,,,,
290864,The Principal Upanishads,Sarvepalli Radhakrishnan,"Radhakrishnan, Sarvepalli",,"=""8172231245""","=""9788172231248""",0,4.26,HarperOne,Paperback,958,1995,1989,,2020/10/21,"to-read, philosophy","to-read (#338), philosophy (#89)",to-read,,,,0,,,0,,,,,
31853,A Source Book in Indian Philosophy,Sarvepalli Radhakrishnan,"Radhakrishnan, Sarvepalli","Charles Alexander Moore, Kapila, Nandalal Sinha, Kautilya, R. Shamasastry, Manu, Georg Bühler, Patañjali, Rama Prasada, Nāgārjuna, Hermann Oldenberg, Susumu Yamaguchi, Ganganatha Jha, Ramanuja, George Thibaut, Pratap Chandra Ray, Edward J. Thomas","=""0691019584""","=""9780691019581""",0,4.12,Princeton University Press,Paperback,720,1967,1957,,2020/10/21,"to-read, philosophy, academic","to-read (#337), philosophy (#88), academic (#41)",to-read,,,,0,,,0,,,,,
52229769,Poetry of Belonging: Muslim imaginings of India 1850-1950,Ali Khan Mahmudabad,"Mahmudabad, Ali Khan",,"=""0190121017""","=""9780190121013""",0,4.00,Oxford University Press,Hardcover,324,2020,,,2020/10/21,"to-read, history","to-read (#336), history (#113)",to-read,,,,0,,,0,,,,,
1976714,God's Problem: How the Bible Fails to Answer Our Most Important Question - Why We Suffer,Bart D. Ehrman,"Ehrman, Bart D.",,"=""0061173975""","=""9780061173974""",0,3.92,HarperOne,Hardcover,304,2008,2008,,2020/10/19,"to-read, christian","to-read (#335), christian (#98)",to-read,,,,0,,,0,,,,,
751881,The Ottoman Empire: The Classical Age 1300-1600,Halil İnalcık,"İnalcık, Halil",,"=""1842124420""","=""9781842124420""",0,4.21,Phoenix,Paperback,272,2001,1973,,2020/10/18,"to-read, history","to-read (#334), history (#112)",to-read,,,,0,,,0,,,,,
9256630,The Nayars Today,C.J. Fuller,"Fuller, C.J.",,"=""0521290910""","=""9780521290913""",0,4.50,Cambridge University Press,Paperback,186,1977,1976,,2020/10/17,"to-read, anthropology, sociology","to-read (#333), anthropology (#12), sociology (#22)",to-read,,,,0,,,0,,,,,
3681231,The Causes of the Indian Revolt,Syed Ahmad Khan,"Khan, Syed Ahmad",Francis Robinson,"=""0195779843""","=""9780195779844""",0,4.00,"Oxford University Press, USA",Hardcover,92,2001,,,2020/10/17,"to-read, history","to-read (#332), history (#111)",to-read,,,,0,,,0,,,,,
774088,Difficult Conversations: How to Discuss What Matters Most,Douglas Stone,"Stone, Douglas","Bruce Patton, Sheila Heen","=""014028852X""","=""9780140288520""",0,4.10,Penguin Books,Paperback,272,2000,1999,,2020/10/15,"to-read, language","to-read (#331), language (#7)",to-read,,,,0,,,0,,,,,
65121,"The Last Templar: The Tragedy of Jacques de Molay, Last Grand Master of the Temple",Alain Demurger,"Demurger, Alain",Antonia Nevill,"=""1861975538""","=""9781861975539""",0,3.69,Profile Books,Paperback,300,2005,2002,,2020/10/14,"to-read, christian, history","to-read (#330), christian (#97), history (#110)",to-read,,,,0,,,0,,,,,
34312336,The Templars: The Rise and Spectacular Fall of God's Holy Warriors,Dan Jones,"Jones, Dan",,"=""0525428305""","=""9780525428305""",0,3.87,Viking,Hardcover,448,2017,2017,,2020/10/14,"to-read, history","to-read (#329), history (#109)",to-read,,,,0,,,0,,,,,
41156922,Reading Romans with Eastern Eyes: Honor and Shame in Paul's Message and Mission,Jackson Wu,"Wu, Jackson",,"=""0830852239""","=""9780830852239""",0,4.08,IVP Academic,Paperback,208,2019,,,2020/10/14,"to-read, christian, theology","to-read (#328), christian (#96), theology (#23)",to-read,,,,0,,,0,,,,,
50175055,The Genealogical Adam and Eve: The Surprising Science of Universal Ancestry,S. Joshua Swamidass,"Swamidass, S. Joshua",,"=""0830852638""","=""9780830852635""",0,4.00,IVP Academic,Hardcover,225,2019,,,2020/10/14,"to-read, christian","to-read (#327), christian (#95)",to-read,,,,0,,,0,,,,,
10379376,The House of Wisdom: How Arabic Science Saved Ancient Knowledge and Gave Us the Renaissance,Jim Al-Khalili,"Al-Khalili, Jim",,"=""1594202796""","=""9781594202797""",0,3.91,Penguin Press,Hardcover,336,2011,2010,,2020/10/14,"to-read, history","to-read (#326), history (#108)",to-read,,,,0,,,0,,,,,
6209184,Al-Ghazali's Philosophical Theology,Frank Griffel,"Griffel, Frank",,"=""0195331621""","=""9780195331622""",0,4.68,"Oxford University Press, USA",Hardcover,408,2009,2009,,2020/10/14,"to-read, islam","to-read (#325), islam (#8)",to-read,,,,0,,,0,,,,,
2455412,The Oxford Handbook of Philosophy of Religion,William J. Wainwright,"Wainwright, William J.",,"=""0195331354""","=""9780195331356""",0,4.30,"Oxford University Press, USA",Paperback,528,2007,2004,,2020/10/13,"to-read, philosophy","to-read (#324), philosophy (#87)",to-read,,,,0,,,0,,,,,
2411460,The Cambridge Companion to Classical Islamic Theology,Abdal Hakim Murad,"Murad, Abdal Hakim",,"=""0521785499""","=""9780521785495""",0,4.09,Cambridge University Press,Paperback,337,2008,2008,,2020/10/13,"to-read, islam","to-read (#323), islam (#7)",to-read,,,,0,,,0,,,,,
471173,Understanding Islam and the Muslims: The Muslim Family and Islam and World Peace,Abdal Hakim Murad,"Murad, Abdal Hakim","John A. Williams, V. Gray Henry","=""1887752471""","=""9781887752473""",0,4.00,Fons Vitae,Paperback,96,2002,2002,,2020/10/13,"to-read, islam","to-read (#322), islam (#6)",to-read,,,,0,,,0,,,,,
752772,Understanding the Four Madhhabs,Abdal Hakim Murad,"Murad, Abdal Hakim",,"=""19023500""","=""9781902350011""",0,4.55,Muslim Academic Trust,Paperback,30,1999,1995,,2020/10/13,"to-read, islam","to-read (#321), islam (#5)",to-read,,,,0,,,0,,,,,
1417923,Aristotle,Christopher Shields,"Shields, Christopher",,"=""0415283329""","=""9780415283328""",0,3.98,Routledge,Paperback,456,2007,2007,,2020/10/13,"to-read, philosophy","to-read (#320), philosophy (#86)",to-read,,,,0,,,0,,,,,
18921558,Jesus and the Eyewitnesses,Richard Bauckham,"Bauckham, Richard",,"=""""","=""9781467408981""",0,4.33,Wm. B. Eerdmans Publishing Company,Kindle Edition,553,2013,2006,,2020/10/13,"to-read, christian","to-read (#319), christian (#94)",to-read,,,,0,,,0,,,,,
3084002,The Blackwell Companion to Natural Theology,William Lane Craig,"Craig, William Lane",J.P. Moreland,"=""1405176571""","=""9781405176576""",0,4.46,Wiley-Blackwell,Hardcover,704,2009,1991,,2015/12/16,"currently-reading, philosophy, theology, academic","currently-reading (#19), philosophy (#38), theology (#10), academic (#40)",currently-reading,,,,1,,,0,,,,,
